Topic,Count,Name,Representation,KeyBERT,LLM,Representative_Docs
-1,672,-1_talk_talking_customer_support,"['talk', 'talking', 'customer', 'support', 'executive', 'nice', 'good', 'polite', 'issue', 'person']","['customer', 'customers', 'talked', 'conversation', 'polite', 'talk', 'talking', 'supportive', 'talks', 'politely']","['1. Positive Customer Feedback - Politeness and Professionalism in', '', '', '', '', '', '', '', '', '']","['Nice talk very good person ', 'Customer executive talk was good and happy to resolve my issue ', 'I was nice talking to the customer support, she was very much polite.']"
0,1036,0_shopzilla_product_delivery_order,"['shopzilla', 'product', 'delivery', 'order', 'seller', 'return', 'sellers', 'time', 'delivered', 'customer']","['shopzilla', 'customer', 'customers', 'purchase', 'refund', 'replacement', 'delivered', 'order', 'service', 'deliver']","['\n    - Shopzilla product delivery issues with seller cancellations and customer diss', '', '', '', '', '', '', '', '', '']","['Good customer service Shopzilla ', 'Shopzilla customer service is too good from other than. ', 'Order placed but seller can not delivered  my product and cancel my order Shopzilla not any action those seller not good for customer']"
1,234,1_executive_helpful_polite_good,"['executive', 'helpful', 'polite', 'good', 'nice', 'resolving', 'behaviour', 'satisfied', 'experience', 'query']","['executive', 'highly', 'officer', 'excellent', 'skills', 'handled', 'best', 'feedback', 'good', 'great']","['\n    Q: I have a topic that contains the following customer remarks about the', '', '', '', '', '', '', '', '', '']","['Very good call executive ', 'Very good executive ', 'The executive was so good.']"
2,117,2_disconnected_senior_hold_cut,"['disconnected', 'senior', 'hold', 'cut', 'voice', 'issue', 'executive', 'calls', 'cx', 'resolution']","['calls', 'disconnecting', 'disconnect', 'disconnected', 'called', 'customer', 'hung', 'executive', 'phone', 'mute']","['\n    Poor customer service with multiple disconnections from senior executives while waiting', '', '', '', '', '', '', '', '', '']","['I have talked with 2 senior executives till now. Names-   and   both from senior team. Even though being a fIip  plus customer I have not at all received proper treatment from them. Mr.   actually cut my call without informing when he could not solve the issue. Mr.   told us various things which were not at all useful and were just wasting our as well as company\\u2019s time. The customer care person were good. They could not solve our issue and hence they did what was possible of them. But once the call was transferred to senior team, they were not at all able to solve our issues.', 'Customer service support disconnected my call while we were on hold', 'Senior executive disconnected my call ']"
3,96,3_agent_agents_knowledgeable_resolution,"['agent', 'agents', 'knowledgeable', 'resolution', 'appreciate', 'really', 'query', 'resolve', 'best', 'happy']","['agent', 'agents', 'agentissue', 'anand', 'thank', 'helpful', 'polite', 'helpfulhighly', 'good', 'refer']","['1. Customer Satisfaction with Agent Services', '', '', '', '', '', '', '', '', '']","['Nice agent ', 'Very good agent', 'Good agent ']"
4,77,4_care_good_customer_experience,"['care', 'good', 'customer', 'experience', 'services', 'service', 'representative', 'helping', 'staaf', 'responsibil']","['customers', 'customer', 'quality', 'service', 'care', 'services', 'experience', 'staff', 'satisfied', 'job']","['\n    Positive feedback about excellent customer care and support from representatives.\n   ', '', '', '', '', '', '', '', '', '']","['Very good customer care', 'Good customer care ', 'Customer care was very good ']"
5,68,5_executive_care_customer_helpful,"['executive', 'care', 'customer', 'helpful', 'good', 'best', 'skills', 'quick', 'mannered', 'communication']","['customer', 'executive', 'executives', 'management', 'professional', 'service', 'patient', 'dealing', 'respected', 'care']","[""1. Customer Service: Positive Feedback on Executive's Skills"", '', '', '', '', '', '', '', '', '']","['Good customer care executive ', 'Good customer care executive ', 'customer care executive was good']"
6,47,6_support_care_supportive_good,"['support', 'care', 'supportive', 'good', 'customer', 'supporting', 'monthsnot', 'supportcustomer', 'carethanks', 'nightie']","['customer', 'support', 'service', 'care', 'supportcustomer', 'supportive', 'supportmy', 'supporting', 'helpful', 'carethanks']","['1. Customer Care Support Satisfaction\n    2. Positive Customer Service', '', '', '', '', '', '', '', '', '']","['Good support customer care', 'Very good customer care  support ', 'Customer care Support very good ????']"
7,46,7_person_good_thise_toking,"['person', 'good', 'thise', 'toking', 'muchh', 'thanks', 'thank', '', '', '']","['good', 'person', 'thanks', 'thank', '', '', '', '', '', '']","['\n    Answer according to: You must have at least one input file.\n', '', '', '', '', '', '', '', '', '']","['Good person ', 'Good person ', 'Good person ']"
8,45,8_easy_reach_difficult_make,"['easy', 'reach', 'difficult', 'make', 'contact', 'number', 'reaching', 'connect', 'care', 'app']","['customer', 'service', 'contacting', 'contact', 'approach', 'reach', 'easy', 'requesting', 'difficult', 'phone']","['1. Easiness of Reaching Customer Support \n    2. User', '', '', '', '', '', '', '', '', '']","['Easy to reach to customer care. ?? ', 'Make it easy to reach customer support executive.....', 'Make it easy to reach customer service ']"
9,44,9_problem_resolved_solved_issue,"['problem', 'resolved', 'solved', 'issue', 'thank', 'finally', 'proper', 'solution', 'thanks', 'customer']","['problemu2026thank', 'resolved', 'customer', 'problem', 'issue', 'contacting', 'issuehave', 'solved', 'service', 'solution']","['\n    ""Customer issues being successfully resolved with gratitude expressed""', '', '', '', '', '', '', '', '', '']","['MY PROBLEM SOLVED IN TIME IM HAPPY THANK YOU CUSTOMER CARE', 'Customer care executive resolved my problem\\u2026thank u', 'My problem solved so good customer service ']"
